  unhandled argument: C:\Users\vitor\Documents\MIEI\Visualização e Iluminação 1\Trabalho Prático\bin_x64\Release\gl_commandlist_basic.exe
DEVICE: GeForce_GTX_1650
vsync: on
scene.vert.glsl ...
scene.frag.glsl ...
scene.vert.glsl ...
scene.geo.glsl ...
scene.frag.glsl ...
 Timer Frame;	 GL    6991; CPU   2735; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU    107; (microseconds, avg 128)
  Timer Draw;	 GL    6860; CPU   2478; (microseconds, avg 128)
  Timer Blit;	 GL     111; CPU     49; (microseconds, avg 128)
  Timer GUI;	 GL       5; CPU     57; (microseconds, avg 128)

 Timer Frame;	 GL    6980; CPU   2901; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU    128; (microseconds, avg 128)
  Timer Draw;	 GL    6841; CPU   2594; (microseconds, avg 128)
  Timer Blit;	 GL     119; CPU     59; (microseconds, avg 128)
  Timer GUI;	 GL       5; CPU     65; (microseconds, avg 128)

 Timer Frame;	 GL    6921; CPU   2572; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU    107; (microseconds, avg 128)
  Timer Draw;	 GL    6833; CPU   2323; (microseconds, avg 128)
  Timer Blit;	 GL      69; CPU     43; (microseconds, avg 128)
  Timer GUI;	 GL       5; CPU     51; (microseconds, avg 128)

 Timer Frame;	 GL    7031; CPU   2825; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU    112; (microseconds, avg 128)
  Timer Draw;	 GL    6881; CPU   2548; (microseconds, avg 128)
  Timer Blit;	 GL     130; CPU     56; (microseconds, avg 128)
  Timer GUI;	 GL       5; CPU     63; (microseconds, avg 128)

 Timer Frame;	 GL    6939; CPU   2543; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU    100; (microseconds, avg 128)
  Timer Draw;	 GL    6832; CPU   2306; (microseconds, avg 128)
  Timer Blit;	 GL      87; CPU     42; (microseconds, avg 128)
  Timer GUI;	 GL       5; CPU     50; (microseconds, avg 128)

 Timer Frame;	 GL    6918; CPU   2572; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU    104; (microseconds, avg 128)
  Timer Draw;	 GL    6831; CPU   2334; (microseconds, avg 128)
  Timer Blit;	 GL      67; CPU     41; (microseconds, avg 128)
  Timer GUI;	 GL       5; CPU     51; (microseconds, avg 128)

 Timer Frame;	 GL    6917; CPU   2584; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU    104; (microseconds, avg 128)
  Timer Draw;	 GL    6832; CPU   2344; (microseconds, avg 128)
  Timer Blit;	 GL      65; CPU     41; (microseconds, avg 128)
  Timer GUI;	 GL       5; CPU     51; (microseconds, avg 128)

 Timer Frame;	 GL    6931; CPU   2628; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU    107; (microseconds, avg 128)
  Timer Draw;	 GL    6835; CPU   2373; (microseconds, avg 128)
  Timer Blit;	 GL      76; CPU     46; (microseconds, avg 128)
  Timer GUI;	 GL       5; CPU     54; (microseconds, avg 128)

 Timer Frame;	 GL    6983; CPU   2660; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU    105; (microseconds, avg 128)
  Timer Draw;	 GL    6832; CPU   2400; (microseconds, avg 128)
  Timer Blit;	 GL     130; CPU     51; (microseconds, avg 128)
  Timer GUI;	 GL       5; CPU     58; (microseconds, avg 128)

 Timer Frame;	 GL    7011; CPU   3128; (microseconds, avg 128)
